infinitiv	tip	sigurnost	predlozeni_oblik
zacrveniti	-iti	visoka	zacrvenilo
zacrveniti	-iti	visoka	zacrvenili
zacrveniti	-iti	visoka	zacrvenile
zacvileti	-eti	proveri	zacvilim
zacvileti	-eti	proveri	zacviliš
zacvileti	-eti	proveri	zacvilimo
zacvileti	-eti	proveri	zacvilite
zacvileti	-eti	proveri	zacvileo
zacvileti	-eti	proveri	zacvilela
zacvileti	-eti	proveri	zacvilelo
zacvileti	-eti	proveri	zacvileli
zacvileti	-eti	proveri	zacvilele
zadahnuti	-nuti	visoka	zadahnem
zadahnuti	-nuti	visoka	zadahnemo
zadahnuti	-nuti	visoka	zadahnete
zadahnuti	-nuti	visoka	zadahnula
zadahnuti	-nuti	visoka	zadahnulo
zadahnuti	-nuti	visoka	zadahnuli
zadahnuti	-nuti	visoka	zadahnule
zadahnuti	-nuti	visoka	zadahni
zadahnuti	-nuti	visoka	zadahnite
zadaniti	-iti	visoka	zadaniš
zadaniti	-iti	visoka	zadanimo
zadaniti	-iti	visoka	zadanite
zadaniti	-iti	visoka	zadanio
zadaniti	-iti	visoka	zadanila
zadaniti	-iti	visoka	zadanilo
zadaniti	-iti	visoka	zadanili
zadaniti	-iti	visoka	zadanile
zadavati	-ati	visoka	zadavam
zadavati	-ati	visoka	zadavaš
zadavati	-ati	visoka	zadava
zadavati	-ati	visoka	zadavamo
zadavati	-ati	visoka	zadavate
zadavati	-ati	visoka	zadavaju
zadavati	-ati	visoka	zadavaj
zadavati	-ati	visoka	zadavajte
zadenuti	-nuti	visoka	zadenem
zadenuti	-nuti	visoka	zadeneš
zadenuti	-nuti	visoka	zadenemo
zadenuti	-nuti	visoka	zadenete
zadenuti	-nuti	visoka	zadenula
zadenuti	-nuti	visoka	zadenulo
zadenuti	-nuti	visoka	zadenuli
zadenuti	-nuti	visoka	zadenule
zadenuti	-nuti	visoka	zadenite
zadevati	-ati	visoka	zadevam
zadevati	-ati	visoka	zadevaš
zadevati	-ati	visoka	zadevamo
zadevati	-ati	visoka	zadevate
zadevati	-ati	visoka	zadevaj
zadevati	-ati	visoka	zadevajte
zadevati	-ati	visoka	zadevala
zadevati	-ati	visoka	zadevali
zadevati	-ati	visoka	zadevale
